date,user_id,revenue
2020-01-01,296,34.5
2020-01-01,172,45.99
2020-01-01,250,106.84
2020-01-01,279,57.5
2020-01-01,279,77.07
2020-01-01,253,44.97
2020-01-01,140,33.76
2020-01-01,297,33.55
2020-01-01,279,10.45
2020-01-01,279,127.69
2020-01-01,248,38.12
2020-01-01,235,101.17
2020-01-01,297,51.53
2020-01-01,248,34.24
2020-01-01,297,150.78
2020-01-01,260,36.84
2020-01-01,249,19.79
2020-01-01,312,22.37
2020-01-01,312,571.78
2020-01-01,312,85.6
2020-01-01,312,68.76
2020-01-01,309,207.77
2020-01-01,312,276.79
2020-01-01,248,138.65
2020-01-01,260,17.97
2020-01-01,186,185.15
2020-01-01,260,784.33
2020-01-01,298,23.45
2020-01-02,313,154.88
2020-01-02,298,10.95
2020-01-02,312,37.22
2020-01-02,312,44.41
2020-01-02,312,241.37
2020-01-02,298,173.91
2020-01-02,240,220.01
2020-01-02,279,68.04
2020-01-02,86,223.18
2020-01-02,208,66.16
2020-01-02,312,30.4
2020-01-02,297,68.62
2020-01-02,298,34.3
2020-01-02,261,78.54
2020-01-02,260,68.51
2020-01-02,261,30.82
2020-01-02,261,550.73
2020-01-02,245,84.41
2020-01-02,249,79.52
2020-01-02,249,120.8
2020-01-02,261,212.79
2020-01-02,297,67.57
2020-01-02,297,97.01
2020-01-02,261,31.8
2020-01-02,261,22.05
2020-01-02,251,64.9
2020-01-02,261,95.49
2020-01-02,98,107.7
2020-01-02,260,16.05
2020-01-03,313,155.19
2020-01-03,280,20.11
2020-01-03,256,10.45
2020-01-03,279,40.95
2020-01-03,138,82.99
2020-01-03,313,14.07
2020-01-03,298,24.75
2020-01-03,152,46.9
2020-01-03,176,79.55
2020-01-03,313,24.9
2020-01-03,266,314.02
2020-01-03,313,105.26
2020-01-03,299,97.97
2020-01-03,298,108.37
2020-01-03,313,45.09
2020-01-03,313,22.43
2020-01-03,261,20.34
2020-01-03,249,25.48
2020-01-03,261,19.43
2020-01-03,298,50.85
2020-01-03,298,65.65
2020-01-03,264,8.81
2020-01-03,298,96.22
2020-01-03,297,122.07
2020-01-03,180,36.78
2020-01-03,299,39.53
2020-01-03,100,21.7
2020-01-03,249,69.58
2020-01-03,249,21.74
2020-01-03,262,62.83
2020-01-03,261,33.56
2020-01-03,313,52.4
2020-01-04,263,38.33
2020-01-04,97,137.84
2020-01-04,314,50.79
2020-01-04,59,125.71
2020-01-04,59,111.31
2020-01-04,314,12.09
2020-01-04,314,39.33
2020-01-04,314,35.39
2020-01-04,263,27.97
2020-01-04,225,94.55
2020-01-04,194,315.65
2020-01-04,262,20.74
2020-01-04,312,86.93
2020-01-04,132,9.71
2020-01-04,250,31.19
2020-01-04,249,50.72
2020-01-04,240,1.8
2020-01-04,240,18.14
2020-01-04,153,18.6
2020-01-04,262,3.85
2020-01-04,280,39.85
2020-01-04,280,286.85
2020-01-04,313,94.55
2020-01-04,280,15.86
2020-01-04,262,34.91
2020-01-04,262,267.5
2020-01-04,9,15.09
2020-01-04,294,49.21
2020-01-04,175,24.97
2020-01-04,299,16.38
2020-01-04,100,104.27
2020-01-04,299,134.3
2020-01-04,299,33.39
2020-01-04,130,81.69
2020-01-04,299,17.33
2020-01-04,153,65.94
2020-01-04,313,97.52
2020-01-04,262,23.0
2020-01-04,262,138.26
2020-01-04,314,138.96
2020-01-04,265,233.8
2020-01-04,208,290.79
2020-01-04,208,59.21
2020-01-04,201,75.5
2020-01-05,163,43.85
2020-01-05,68,44.85
2020-01-05,251,12.97
2020-01-05,258,60.01
2020-01-05,263,69.71
2020-01-05,250,199.33
2020-01-05,300,97.86
2020-01-05,241,98.03
2020-01-05,225,110.67
2020-01-05,241,11.19
2020-01-05,241,17.27
2020-01-05,241,96.86
2020-01-05,314,28.77
2020-01-05,299,73.87
2020-01-05,314,10.06
2020-01-05,250,413.58
2020-01-05,296,44.86
2020-01-05,241,10.9
2020-01-05,299,471.62
2020-01-05,263,97.91
2020-01-05,299,165.1
2020-01-05,299,55.66
2020-01-05,300,53.17
2020-01-05,241,141.08
2020-01-05,280,70.42
2020-01-05,280,30.4
2020-01-05,280,39.69
2020-01-05,248,37.85
2020-01-05,300,50.55
2020-01-05,239,22.66
2020-01-05,280,42.26
2020-01-05,263,41.58
2020-01-05,311,84.92
2020-01-05,225,110.67
2020-01-05,250,196.22
2020-01-05,243,88.36
2020-01-05,263,124.3
2020-01-05,263,21.47
2020-01-05,263,17.91
2020-01-06,209,123.95
2020-01-06,300,45.47
2020-01-06,250,46.67
2020-01-06,185,74.35
2020-01-06,200,12.08
2020-01-06,256,73.71
2020-01-06,281,86.1
2020-01-06,281,52.8
2020-01-06,249,91.47
2020-01-06,248,19.57
2020-01-06,281,60.51
2020-01-06,299,27.51
2020-01-06,281,10.45
2020-01-06,264,44.68
2020-01-06,125,72.42
2020-01-06,278,25.76
2020-01-06,157,33.39
2020-01-06,296,97.76
2020-01-06,188,79.91
2020-01-06,215,19.11
2020-01-06,299,32.04
2020-01-06,241,69.38
2020-01-06,244,47.01
2020-01-06,315,28.35
2020-01-06,300,63.09
2020-01-06,206,32.37
2020-01-06,315,9.8
2020-01-06,140,23.42
2020-01-06,117,41.65
2020-01-06,269,83.51
2020-01-06,315,23.45
2020-01-06,300,70.2
2020-01-06,288,9.27
2020-01-06,281,134.98
2020-01-06,250,93.44
2020-01-06,300,34.9
2020-01-06,300,57.76
2020-01-06,278,35.23
2020-01-06,315,29.87
2020-01-06,302,12.88
2020-01-06,299,38.19
2020-01-06,314,15.26
2020-01-06,297,47.81
2020-01-06,259,48.42
2020-01-06,314,4.15
2020-01-06,164,12.95
2020-01-06,250,35.7
2020-01-06,86,124.66
2020-01-06,220,69.46
2020-01-06,314,201.31
2020-01-07,315,44.1
2020-01-07,241,184.46
2020-01-07,130,115.17
2020-01-07,241,95.04
2020-01-07,316,42.83
2020-01-07,316,72.91
2020-01-07,236,569.1
2020-01-07,316,118.82
2020-01-07,285,227.98
2020-01-07,312,218.66
2020-01-07,242,10.9
2020-01-07,315,89.95
2020-01-07,315,23.63
2020-01-07,305,86.05
2020-01-07,161,8.64
2020-01-07,211,45.62
2020-01-07,315,61.66
2020-01-07,247,88.65
2020-01-07,264,34.92
2020-01-07,184,191.94
2020-01-07,301,60.79
2020-01-07,281,37.29
2020-01-07,278,53.97
2020-01-07,282,74.71
2020-01-07,281,26.1
2020-01-07,280,278.08
2020-01-07,281,35.37
2020-01-07,279,24.2
2020-01-07,282,9.9
2020-01-07,301,234.06
2020-01-07,282,54.65
2020-01-07,264,6.93
2020-01-07,264,11.55
2020-01-07,211,89.15
2020-01-07,198,114.19
2020-01-07,250,97.35
2020-01-07,301,31.4
2020-01-07,275,69.55
2020-01-08,251,37.74
2020-01-08,313,10.17
2020-01-08,304,29.77
2020-01-08,225,82.43
2020-01-08,316,175.79
2020-01-08,264,40.69
2020-01-08,163,42.05
2020-01-08,316,29.19
2020-01-08,251,40.9
2020-01-08,251,15.48
2020-01-08,264,339.79
2020-01-08,251,48.53
2020-01-08,316,20.91
2020-01-08,264,25.31
2020-01-08,264,61.3
2020-01-08,245,154.41
2020-01-08,265,24.07
2020-01-08,203,22.05
2020-01-08,265,15.71
2020-01-08,316,177.24
2020-01-08,294,124.85
2020-01-08,268,108.59
2020-01-08,201,47.91
2020-01-08,264,11.9
2020-01-08,297,65.47
2020-01-08,130,88.67
2020-01-08,288,19.49
2020-01-08,301,79.54
2020-01-08,282,297.81
2020-01-08,198,54.58
2020-01-08,283,18.93
2020-01-08,283,15.71
2020-01-08,269,151.36
2020-01-08,282,43.84
2020-01-08,169,70.34
2020-01-08,251,13.56
2020-01-08,251,134.92
2020-01-08,220,62.95
2020-01-08,283,182.03
2020-01-08,263,19.01
2020-01-08,10,121.93
2020-01-08,251,16.95
2020-01-08,282,42.0
2020-01-08,301,16.85
2020-01-08,276,81.19
2020-01-08,138,75.65
2020-01-08,242,10.51
2020-01-08,242,50.34
2020-01-08,283,13.25
2020-01-08,282,8.19
2020-01-08,282,114.5
2020-01-08,301,58.08
2020-01-08,282,18.7
2020-01-08,181,95.15
2020-01-09,283,43.84
2020-01-09,316,27.59
