date,user_id,action
2020-01-01,296,Confirm
2020-01-01,312,Take a look
2020-01-01,312,Take a look
2020-01-01,312,Take a look
2020-01-01,312,Take a look
2020-01-01,312,Take a look
2020-01-01,309,Take a look
2020-01-01,298,Take a look
2020-01-01,248,Take a look
2020-01-01,260,Take a look
2020-01-01,186,Take a look
2020-01-01,260,Take a look
2020-01-01,260,Take a look
2020-01-01,249,Take a look
2020-01-01,248,Take a look
2020-01-01,297,Take a look
2020-01-01,235,Take a look
2020-01-01,248,Take a look
2020-01-01,279,Take a look
2020-01-01,279,Take a look
2020-01-01,297,Take a look
2020-01-01,297,Take a look
2020-01-01,140,Take a look
2020-01-01,253,Take a look
2020-01-01,279,Take a look
2020-01-01,279,Confirm
2020-01-01,250,Take a look
2020-01-01,172,Take a look
2020-01-02,245,Take a look
2020-01-02,249,Take a look
2020-01-02,249,Take a look
2020-01-02,261,Take a look
2020-01-02,297,Take a look
2020-01-02,297,Take a look
2020-01-02,260,Take a look
2020-01-02,260,Take a look
2020-01-02,261,Confirm
2020-01-02,261,Take a look
2020-01-02,251,Take a look
2020-01-02,261,Take a look
2020-01-02,98,Take a look
2020-01-02,261,Take a look
2020-01-02,261,Take a look
2020-01-02,261,Take a look
2020-01-02,297,Take a look
2020-01-02,313,Take a look
2020-01-02,312,Take a look
2020-01-02,312,Take a look
2020-01-02,312,Take a look
2020-01-02,298,Take a look
2020-01-02,298,Take a look
2020-01-02,298,Take a look
2020-01-02,279,Take a look
2020-01-02,86,Take a look
2020-01-02,208,Take a look
2020-01-02,312,Take a look
2020-01-02,240,Confirm
2020-01-03,261,Take a look
2020-01-03,298,Take a look
2020-01-03,298,Take a look
2020-01-03,180,Take a look
2020-01-03,264,Take a look
2020-01-03,298,Take a look
2020-01-03,297,Take a look
2020-01-03,313,Take a look
2020-01-03,299,Take a look
2020-01-03,100,Take a look
2020-01-03,249,Take a look
2020-01-03,249,Take a look
2020-01-03,262,Take a look
2020-01-03,261,Take a look
2020-01-03,261,Take a look
2020-01-03,249,Take a look
2020-01-03,313,Take a look
2020-01-03,299,Take a look
2020-01-03,313,Take a look
2020-01-03,313,Take a look
2020-01-03,256,Take a look
2020-01-03,279,Take a look
2020-01-03,138,Take a look
2020-01-03,280,Take a look
2020-01-03,313,Take a look
2020-01-03,298,Take a look
2020-01-03,152,Take a look
2020-01-03,176,Take a look
2020-01-03,313,Spot
2020-01-03,266,Take a look
2020-01-03,313,Take a look
2020-01-03,298,Take a look
2020-01-04,130,Take a look
2020-01-04,262,Take a look
2020-01-04,262,Take a look
2020-01-04,9,Take a look
2020-01-04,294,Take a look
2020-01-04,175,Take a look
2020-01-04,299,Take a look
2020-01-04,100,Take a look
2020-01-04,299,Take a look
2020-01-04,299,Take a look
2020-01-04,153,Take a look
2020-01-04,299,Take a look
2020-01-04,208,Take a look
2020-01-04,208,Take a look
2020-01-04,265,Take a look
2020-01-04,201,Take a look
2020-01-04,262,Take a look
2020-01-04,262,Take a look
2020-01-04,313,Take a look
2020-01-04,314,Take a look
2020-01-04,313,Take a look
2020-01-04,280,Take a look
2020-01-04,280,Take a look
2020-01-04,280,Take a look
2020-01-04,97,Take a look
2020-01-04,314,Take a look
2020-01-04,59,Take a look
2020-01-04,59,Take a look
2020-01-04,314,Take a look
2020-01-04,314,Take a look
2020-01-04,314,Take a look
2020-01-04,263,Take a look
2020-01-04,263,Take a look
2020-01-04,262,Confirm
2020-01-04,194,Take a look
2020-01-04,262,Take a look
2020-01-04,312,Take a look
2020-01-04,132,Take a look
